idwell,subphase,sum(subphase_total_days)
46EEF60EB010439BBBD01541CAE71BB8,"Run 14"" Casing (356mm)",4.95
17FA6FC0817144F09C084AF52016E4B4,Plugback,6.48
F60B551E1EBF446493ADBBF7E06B276D,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",2.52
5E07616CA6644593A67C548910E4F255,"Jet 36"" Casing (914mm)",1.03
3E1FCFD5C8884B2E8CD7089DAD3CC779,Run Lower Completion,2.33
FF5A9E0299714949BB7113DE5A45FC58,Re-entry,0.31
DCADAAC3B0E54E66BA63DF6A3191C2B5,Move In & Rig Up,1.14
81CEC78DC98E4FB498D5F240B2368F3E,"Run 13-5/8"" Casing / Tieback (346mm)",2.29
754271E79F2D47E2A6A13FDBA918D5D6,"Drill 12-1/4"" Hole Section (311mm)",8.06
5BEEF1D9EFA7406CA03D23FB1BA2441E,Pull BOP,4.72
0643520408164C0BAC017A4FD2AB4C4D,"Run 13-3/8"" Casing (340mm)",1.69
2E3FCD94C0F84227A363DBAB76367D17,Run Lower Completion,7.02
D9290A60CB6B47E4A86A579B6FDE01BC,Coring,25.64
61418BB6CEB248E29AC01F6F6BE82AB4,Re-entry,2.06
D1AC8790A3AD4CB9896F774EB0B25888,"Drill 12-1/4"" Hole Section (311mm)",21.94
67C1FDE7B2B4483E87B7EA005353C6BA,Move In & Rig Up,0.99
8766467DC774438D9AC41076EF4E2CDD,"Run 13-3/8"" Casing (340mm)",5.25
7BAD924A0777472D9A50F4C01256A71A,Pull BOP,2.38
A06CA05414814A3E84C73BC4EE31EFCF,"Run 9-7/8"" x 10-3/4"" Casing (251x273mm)",2.6
754BC09DDD534651BDA54E4AE2004B72,"Run 22"" Casing (559mm)",3.43
F0C1AEB57DEC4AFFAA75A87DB3CE3B54,"Drill 17-1/2"" x 20"" Hole Section (444.5x508mm)",4.92
17FA6FC0817144F09C084AF52016E4B4,"Drill 12-1/4"" Hole Section (311mm)",18.29
5B93D63F99F041CF975816077D909102,"Run 9-7/8"" Liner (251mm)",2.23
0DB5B5A443804DD5927B8B232DA6F1E7,"Drill 12-1/4"" Hole Section (311mm)",4.06
A1D51D5595D141D08D1DAA0D15EA4C09,Fluid Displacement,2.77
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Coring,null
6470F14EEDBB4F81B5DA6EFA8696A5A2,"Drill 12-1/4"" Hole Section (311mm)",5.66
